#,Season,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,
3,2017,Craig Kimbrel,BOS,5,0,35,67,0,69,16.43,1.83,0.78,0.26,93.90%,37.00%,12.80%,98.5,1.43,2.37,1.42,1.5,3.2,
1,2017,Kenley Jansen,LAD,5,0,41,65,0,68.1,14.36,0.92,0.66,0.289,91.30%,38.40%,8.90%,,1.32,1.77,1.31,1.82,3.4,
7,2018,Blake Treinen,OAK,9,2,38,68,0,80.1,11.2,2.35,0.22,0.23,85.90%,51.90%,4.40%,97.6,0.78,2.21,1.82,2.42,3.6,
17,2022,Liam Hendriks,CHW,4,4,37,58,0,57.2,13.27,2.5,1.09,0.296,76.60%,34.90%,11.70%,97.8,2.81,2.57,2.68,2.64,1.6,
24,2024,Emmanuel Clase,CLE,4,2,47,74,0,74.1,7.99,1.21,0.24,0.195,85.10%,57.40%,4.30%,,0.61,2.45,2.22,2.81,2.2,
10,2016,Zack Britton,BAL,2,1,47,69,0,67,9.94,2.42,0.13,0.23,89.70%,80.00%,7.10%,97.2,0.54,1.7,1.94,2.09,2.5,
#,Season,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,,,,,
3,2017,Craig Kimbrel,BOS,69,68.30%,,,,,0.30%,,,31.40%,,,,,,,,,,
1,2017,Kenley Jansen,LAD,68.1,,,85.40%,,,6.60%,7.90%,,,,,,,,,,,,
7,2018,Blake Treinen,OAK,80.1,16.70%,,10.70%,,,50.10%,22.40%,,,,0.10%,,,,,,,,
17,2022,Liam Hendriks,CHW,57.2,60.50%,,,,,,28.90%,10.50%,,,,,,,,,,,
24,2024,Emmanuel Clase,CLE,74.1,1.20%,,77.80%,,,0.40%,20.50%,,,,,,,,,,,,
67,2016,Zack Britton,BAL,67,0.40%,,,,,91.70%,7.90%,,,,,,,,,,,,
#,Season,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,,,,,,
3,2017,Craig Kimbrel,BOS,69,98.3,,,,,98,,,87.3,,,,,,,,,,
1,2017,Kenley Jansen,LAD,68.1,,,93.2,,,94.8,83.3,,,,,,,,,,,,
7,2018,Blake Treinen,OAK,80.1,97.5,,94,,,97.3,89.2,,,,84.1,,,,,,,,
17,2022,Liam Hendriks,CHW,57.2,97.6,,,,,,89,85.8,,,,,,,,,,,
24,2024,Emmanuel Clase,CLE,74.1,99.8,,99.5,,,100.7,91,,,,,,,,,,,,
590,2016,Zack Britton,BAL,67,95.3,,,,,96.2,82,,,,,,,,,,,,
#,Season,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,,,,,,
3,2017,Craig Kimbrel,BOS,69,-7.6,,,,,-10.6,,,4.2,,,,,,,,,,
1,2017,Kenley Jansen,LAD,68.1,,,3.5,,,-4.3,3.6,,,,,,,,,,,,
7,2018,Blake Treinen,OAK,80.1,-4.8,,0.1,,,-10.1,1.7,,,,-10.2,,,,,,,,
17,2022,Liam Hendriks,CHW,57.2,-4,,,,,,0.7,1.3,,,,,,,,,,,
24,2024,Emmanuel Clase,CLE,74.1,-3.3,,1.7,,,-5.7,3.7,,,,,,,,,,,,
590,2016,Zack Britton,BAL,67,3.1,,,,,7.4,-4.8,,,,,,,,,,,,
#,Season,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,,,,,,
,,,,,,FT-Z - Two Seam Fastball vertical movement (Statcast),,,,,,,,,,,,,,,,,
3,2017,Craig Kimbrel,BOS,69,8.9,,,,,4.1,,,-5.2,,,,,,,,,,
1,2017,Kenley Jansen,LAD,68.1,,,10.9,,,12.3,0.3,,,,,,,,,,,,
7,2018,Blake Treinen,OAK,80.1,8,,4.5,,,3,-1.7,,,,1.2,,,,,,,,
17,2022,Liam Hendriks,CHW,57.2,11,,,,,,2.7,-5.4,,,,,,,,,,,
24,2024,Emmanuel Clase,CLE,74.1,8.1,,7,,,7.5,1.7,,,,,,,,,,,,
80,2016,Zack Britton,BAL,67,7.3,,,,,4,-3.6,,,,,,,,,,,,
#,Season,Name,Team,IP,FA-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,,,,,,,
3,2017,Craig Kimbrel,BOS,69,0,,,,0,,,0,,,,,,,,,,,
1,2017,Kenley Jansen,LAD,68.1,,0,,,0,0,,,,,,,,,,,,,
7,2018,Blake Treinen,OAK,80.1,0,0,,,0,0,,,,0,,,,,,,,,
17,2022,Liam Hendriks,CHW,57.2,46,,,,,45,46,,,,,,,,,,,,
24,2024,Emmanuel Clase,CLE,74.1,57,53,,,56,55,,,,,,,,,,,,,
80,2016,Zack Britton,BAL,67,0,,,,0,0,,,,,,,,,,,,,
#,Season,Name,Team,IP,FA-SPN,FC-SPN,FS-SPN,FO-SPN,SI-SPN,SL-SPN,CU-SPN,KC-SPN,EP-SPN,CH-SPN,SC-SPN,KN-SPN,,,,,,,
3,2017,Craig Kimbrel,BOS,69,2428,,,,2449,,,2584,,,,,,,,,,,
1,2017,Kenley Jansen,LAD,68.1,,2611,,,2386,2123,,,,,,,,,,,,,
7,2018,Blake Treinen,OAK,80.1,2532,2573,,,2371,2555,,,,1853,,,,,,,,,
17,2022,Liam Hendriks,CHW,57.2,2398,,,,,2201,2189,,,,,,,,,,,,
24,2024,Emmanuel Clase,CLE,74.1,2521,2583,,,2518,2571,,,,,,,,,,,,,
80,2016,Zack Britton,BAL,67,1524,,,,1845,2388,,,,,,,,,,,,,